,ext.C,ext.N,ext.O,ext.S,core.C,core.N,core.O,core.S,cave.C,cave.N,cave.O,cave.S,ext.Volume,ext.Log(Solubility (m at 20ºC)),ext.Hydrophobicity,ext.Isoelectric point,ext.P(helix),ext.nOats in side chain,ext.nSats in side chain,ext.nNats in side chain,ext.Steric hindrance,ext.nH-bonds,ext.Vol / log(solub),ext.Vol / P(helix),ext.Vol / P(sheet),ext.log(Solub) x Flex,ext.Steric hindrance x Flexibility,ext.Flexibility,ext.P(helix)+P(sheet),ext.log(Solub) x Hydrophobicity,ext.Hydrophobicity x Flex.,ext.V / (P(helix)+P(sheet)),ext.Steric hindrance / P(helix),ext.Isoelectric point / P(sheet),ext.P(sheet),ext.Vol x isoelectric point,ext.Isoelectric point / P(helix),ext.P(helix) / P(sheet),ext.Steric hindrance / P(sheet),ext.P(helix) x Flex.,core.Volume,core.Log(Solubility (m at 20ºC)),core.Hydrophobicity,core.Isoelectric point,core.P(helix),core.nOats in side chain,core.nSats in side chain,core.nNats in side chain,core.Steric hindrance,core.nH-bonds,core.Vol / log(solub),core.Vol / P(helix),core.Vol / P(sheet),core.log(Solub) x Flex,core.Steric hindrance x Flexibility,core.Flexibility,core.P(helix)+P(sheet),core.log(Solub) x Hydrophobicity,core.Hydrophobicity x Flex.,core.V / (P(helix)+P(sheet)),core.Steric hindrance / P(helix),core.Isoelectric point / P(sheet),core.P(sheet),core.Vol x isoelectric point,core.Isoelectric point / P(helix),core.P(helix) / P(sheet),core.Steric hindrance / P(sheet),core.P(helix) x Flex.,cave.Volume,cave.Log(Solubility (m at 20ºC)),cave.Hydrophobicity,cave.Isoelectric point,cave.P(helix),cave.nOats in side chain,cave.nSats in side chain,cave.nNats in side chain,cave.Steric hindrance,cave.nH-bonds,cave.Vol / log(solub),cave.Vol / P(helix),cave.Vol / P(sheet),cave.log(Solub) x Flex,cave.Steric hindrance x Flexibility,cave.Flexibility,cave.P(helix)+P(sheet),cave.log(Solub) x Hydrophobicity,cave.Hydrophobicity x Flex.,cave.V / (P(helix)+P(sheet)),cave.Steric hindrance / P(helix),cave.Isoelectric point / P(sheet),cave.P(sheet),cave.Vol x isoelectric point,cave.Isoelectric point / P(helix),cave.P(helix) / P(sheet),cave.Steric hindrance / P(sheet),cave.P(helix) x Flex.,cave.Score,cave.Druggability_Score,cave.Number_of_Alpha_Spheres,cave.Total_SASA,cave.Polar_SASA,cave.Apolar_SASA,cave.Volume.1,cave.Mean_local_hydrophobic_density,cave.Mean_alpha_sphere_radius,cave.Mean_alp._sph._solvent_access,cave.Apolar_alpha_sphere_proportion,cave.Hydrophobicity_score,cave.Volume_score,cave.Polarity_score,cave.Charge_score,cave.Proportion_of_polar_atoms,cave.Alpha_sphere_density,cave.Cent._of_mass_-_Alpha_Sphere_max_dist,cave.Flexibility.1,Cofactor,cave.hydrophobic,cave.aromatic,cave.polar_uncharged,cave.cationic,cave.anionic,core.hydrophobic,core.aromatic,core.polar_uncharged,core.cationic,core.anionic,ext.hydrophobic,ext.aromatic,ext.polar_uncharged,ext.cationic,ext.anionic
8OG3_A:GLY:148,4.859649122807017,1.3801169590643274,1.567251461988304,0.0058479532163742,5.088888888888889,1.1333333333333333,1.1777777777777778,0.0888888888888888,1.7857142857142858,0.5,0.3571428571428571,0.0,131.34269005847955,-0.3396791582413024,0.1602923976608186,6.114619883040937,0.3012280701754386,0.5614035087719298,0.0058479532163742,0.3801169590643274,2.0195321637426904,2.1871345029239766,71.87408001314074,465.9020312658741,483.0617031995643,-2.964381177459684,18.653631578947373,12.597660818713448,0.5809941520467836,-0.1045031512341174,0.5510526315789472,226.97959853008985,7.276635568058698,23.152565256283765,0.279766081871345,828.4939181286551,22.83912147806539,1.1607857325673543,6.913402356417672,3.488631578947368,138.38888888888889,-0.2513631048048915,0.9315555555555556,6.127111111111112,0.2933333333333334,0.1777777777777777,0.0888888888888888,0.1333333333333333,2.636444444444444,0.8444444444444444,-117.93265140175774,496.0210643823682,402.3472473106681,-1.473506675237561,19.51551111111111,10.386666666666668,0.654,-0.4739873894539678,6.295422222222222,212.5785066919336,9.6266690107342,18.654334505182195,0.3606666666666666,854.1045555555556,22.99556714516167,0.8968527311649148,7.11223865822842,2.9592444444444443,149.34999999999997,-0.340923332450272,0.6671428571428571,6.941428571428571,0.3428571428571428,0.1428571428571428,0.0,0.5714285714285714,2.297857142857143,1.7857142857142858,340.9548188802797,445.4322889412175,520.8660399830807,-1.8678327522404568,18.61378571428571,10.721428571428572,0.6335714285714286,-0.6561236720777927,7.167,235.41311260336053,6.752042451596023,25.60234911730001,0.2907142857142856,1058.9860714285717,21.967347483865343,1.214023278939127,7.527287673367618,3.2872857142857144,-0.047,0.001,19,115.511,33.392,82.119,1269.576,12.0,5.309,0.676,0.684,8.667,4.0,5,0,42.857,3.869,7.287,0.19,Vacant,0.6428571428571429,0.0,0.1428571428571428,0.2142857142857142,0.0,0.6888888888888889,0.0888888888888888,0.1555555555555555,0.0444444444444444,0.0222222222222222,0.3801169590643274,0.0760233918128654,0.239766081871345,0.1345029239766081,0.1695906432748538
8J79_A:ASN:1069,4.959821428571429,1.3883928571428572,1.5345982142857142,0.03125,4.889460154241645,1.19280205655527,1.262210796915167,0.0822622107969151,1.2727272727272727,0.3636363636363636,0.9090909090909092,0.0,134.43080357142858,-0.3232662141044489,0.2504017857142857,6.230524553571428,0.2884151785714285,0.5345982142857143,0.03125,0.3883928571428571,2.139073660714286,2.247767857142857,95.49849157305728,497.1253416729168,477.85193004762135,-2.697122170288008,18.28397544642857,11.9671875,0.5813950892857143,-0.1716087044870652,1.588002232142857,231.3624469514617,8.10391860839836,22.847147844014945,0.2929799107142857,861.1101584821429,24.761813086897632,1.0715130222954772,6.999965282229836,3.081493303571429,131.3547557840617,-0.2599709404204272,0.7480719794344473,6.097686375321338,0.2798971722365039,0.2596401028277635,0.0822622107969151,0.1928020565552699,2.280077120822622,1.2519280205655527,-100.32873233784304,498.41791649661087,419.6328077652259,-0.4935948408955943,19.071946015424164,13.522622107969152,0.6031876606683805,-0.449879577313232,6.164539845758354,217.7647220749098,8.493287909561959,21.273963618852296,0.3232904884318766,805.8681696658098,25.18060322176161,0.9496667210985988,6.530094942653749,3.31539588688946,136.37272727272727,-0.4178454076717239,0.1845454545454545,6.321818181818181,0.279090909090909,0.6363636363636364,0.0,0.6363636363636364,2.400909090909092,3.090909090909091,29.59570428711333,523.8214748214749,484.6934512576914,-6.156189482723005,19.161454545454543,9.663636363636362,0.5809090909090909,0.0078019728466333,-1.7892727272727276,238.5291405458753,9.688370888370883,22.72097633223732,0.3018181818181817,873.3903636363636,25.719904169904154,1.0168249299186485,7.84291880264058,2.543,-0.026,0.006,22,109.468,42.969,66.499,407.871,13.412,3.917,0.584,0.773,40.222,4.333,4,1,30.0,4.419,11.029,0.439,Vacant,0.3636363636363636,0.0,0.4545454545454545,0.0909090909090909,0.0909090909090909,0.5629820051413882,0.1208226221079691,0.2467866323907455,0.0385604113110539,0.0308483290488431,0.3850446428571428,0.0736607142857142,0.2533482142857143,0.1428571428571428,0.1450892857142857
8J79_A:LEU:1293,4.959821428571429,1.3883928571428572,1.5345982142857142,0.03125,4.889460154241645,1.19280205655527,1.262210796915167,0.0822622107969151,1.125,0.375,1.0,0.0,134.43080357142858,-0.3232662141044489,0.2504017857142857,6.230524553571428,0.2884151785714285,0.5345982142857143,0.03125,0.3883928571428571,2.139073660714286,2.247767857142857,95.49849157305728,497.1253416729168,477.85193004762135,-2.697122170288008,18.28397544642857,11.9671875,0.5813950892857143,-0.1716087044870652,1.588002232142857,231.3624469514617,8.10391860839836,22.847147844014945,0.2929799107142857,861.1101584821429,24.761813086897632,1.0715130222954772,6.999965282229836,3.081493303571429,131.3547557840617,-0.2599709404204272,0.7480719794344473,6.097686375321338,0.2798971722365039,0.2596401028277635,0.0822622107969151,0.1928020565552699,2.280077120822622,1.2519280205655527,-100.32873233784304,498.41791649661087,419.6328077652259,-0.4935948408955943,19.071946015424164,13.522622107969152,0.6031876606683805,-0.449879577313232,6.164539845758354,217.7647220749098,8.493287909561959,21.273963618852296,0.3232904884318766,805.8681696658098,25.18060322176161,0.9496667210985988,6.530094942653749,3.31539588688946,137.45,-0.6154575475291162,0.1937499999999999,5.80125,0.305,0.75,0.0,0.375,1.99625,2.625,335.4928813827651,471.0470492470494,503.2337988460532,-1.66110018536667,16.005,13.175,0.5937500000000001,-0.3273630483601216,1.49275,229.9217018810688,6.559023707773708,22.34835553182721,0.2887499999999999,816.897375,22.52042531542532,1.1799741753507065,6.488885077634516,3.1425,0.052,0.0,22,84.759,58.191,26.568,1381.724,6.0,4.558,0.578,0.318,23.333,4.444,6,1,47.059,4.204,10.185,0.584,Vacant,0.375,0.125,0.125,0.125,0.25,0.5629820051413882,0.1208226221079691,0.2467866323907455,0.0385604113110539,0.0308483290488431,0.3850446428571428,0.0736607142857142,0.2533482142857143,0.1428571428571428,0.1450892857142857
8HDD_A:ARG:51,4.961340206185567,1.4329896907216495,1.5206185567010309,0.0257731958762886,4.950704225352113,1.1901408450704225,1.267605633802817,0.0845070422535211,1.5,0.1666666666666666,0.6666666666666666,0.0,132.48118556701027,-0.2936053209351482,0.1905670103092784,6.278969072164949,0.2776546391752577,0.520618556701031,0.0257731958762886,0.4329896907216495,2.117474226804124,2.2577319587628866,182.15516769871547,514.8840198081218,475.0215005449832,-3.0147039955024826,16.73892268041237,11.931958762886598,0.5678350515463917,-0.0925154152451201,0.0840927835051543,233.74707182034905,8.449764623031573,23.43724561947333,0.290180412371134,857.8501829896908,26.173669436313947,1.0466477967734211,6.944428349596845,3.008144329896908,134.0767605633803,-0.3238024779839258,0.7783098591549293,6.0609859154929575,0.2974647887323944,0.2676056338028169,0.0845070422535211,0.1901408450704225,2.403661971830985,1.1549295774647887,-116.68347606380848,484.1764049043363,422.6105827411523,-1.3392024578003612,19.867429577464787,12.26619718309859,0.6254225352112677,-0.466474455842338,6.021478873239437,214.80191269136216,8.70983970958135,20.48158389111492,0.3279577464788732,815.8826338028169,23.30760524769773,1.0048770689473765,6.944766872630916,3.413654929577465,115.45000000000005,0.107595816934474,-0.1333333333333333,6.9816666666666665,0.2683333333333333,0.3333333333333333,0.0,0.8333333333333334,1.5750000000000002,2.833333333333333,585.1883327598722,494.1045991045992,484.1318349737789,1.2523111928531203,12.883833333333332,14.816666666666668,0.5083333333333333,0.2235405339053306,-2.0963333333333334,229.34777011706728,7.006410256410251,30.37137461572243,0.24,848.5385,31.6871693121693,1.1516086698183887,6.048480973417035,3.515166666666667,-0.085,0.001,18,86.079,35.358,50.72,1070.792,7.0,5.121,0.684,0.444,-38.75,4.0,3,-1,28.571,3.057,6.525,0.484,Vacant,0.5,0.0,0.3333333333333333,0.1666666666666666,0.0,0.6197183098591549,0.0985915492957746,0.2112676056338028,0.028169014084507,0.0422535211267605,0.4097938144329897,0.0876288659793814,0.2061855670103092,0.1469072164948453,0.1494845360824742
8PUN_A:LYS:218,5.02621722846442,1.4868913857677903,1.4906367041198505,0.0299625468164794,4.674157303370786,1.1235955056179776,1.2247191011235956,0.0561797752808988,1.0952380952380951,0.3809523809523809,0.8571428571428571,0.0,132.62659176029962,-0.2739997688030719,0.2968913857677902,6.211685393258428,0.2939700374531834,0.4756554307116105,0.0299625468164794,0.4419475655430712,2.073220973782772,2.1385767790262173,154.17907201211173,488.369010660498,474.0260879082117,-1.2043532035240827,16.57561797752809,12.214232209737826,0.5824344569288389,-0.1851998602207016,1.5576629213483142,227.65196666491173,7.777722916904019,23.32244377101498,0.2884644194756555,841.8139063670412,24.804670360894647,1.1080874593690508,6.782192920001048,3.2305767790262165,128.27977528089886,-0.2370076994116063,0.8059550561797754,5.960337078651686,0.3034831460674157,0.2247191011235955,0.0561797752808988,0.1235955056179775,2.219325842696629,0.8764044943820225,-117.37634828220642,452.6646918050403,421.65110121888944,0.625995921692901,19.147123595505622,13.997752808988764,0.6144943820224719,-0.4466145031182117,6.426696629213485,208.7402849623084,7.61825555763254,21.335229959806988,0.3110112359550561,764.3179550561799,22.87398150034704,1.065030367950711,6.55304419312228,3.8004494382022473,126.60952380952382,-0.2553164002934729,0.1471428571428572,6.21047619047619,0.2838095238095238,0.4761904761904761,0.0476190476190476,0.3333333333333333,1.953809523809524,1.9523809523809523,156.23999774258638,476.98568628531046,463.83466323143546,-0.4200448973520971,14.339428571428574,13.609523809523813,0.5723809523809523,-0.0734357838999649,-0.0410476190476191,223.1343786003292,7.14122890406725,24.29478599203963,0.2885714285714285,808.6847142857143,25.723598763392,1.0914624943875686,6.175561813859575,3.2433809523809525,-0.022,0.002,17,66.656,17.143,49.513,200.588,10.0,3.885,0.722,0.647,-11.5,3.75,4,0,40.0,2.703,5.806,0.33,Vacant,0.5238095238095238,0.0476190476190476,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.6853932584269663,0.0674157303370786,0.2134831460674157,0.0,0.0337078651685393,0.445692883895131,0.0823970037453183,0.247191011235955,0.1086142322097378,0.1161048689138576
8HK0_A:THR:299,4.6688311688311686,1.3863636363636365,1.4642857142857142,0.0097402597402597,4.96969696969697,1.0909090909090908,1.2121212121212122,0.0454545454545454,1.181818181818182,0.4545454545454545,0.6363636363636364,0.0,127.67012987012986,-0.2818268479683121,0.2639610389610389,6.065064935064936,0.2962987012987013,0.4902597402597403,0.0097402597402597,0.3961038961038961,2.046525974025974,2.00974025974026,193.6796472817301,467.2935254108188,468.5670178276145,-2.024454413076348,17.474785714285716,13.100974025974027,0.5799025974025973,-0.0856138023461723,1.2562597402597402,221.40984039900243,7.554509816624476,23.29522525922178,0.2836038961038961,797.9895487012988,23.863944871179367,1.1419460342922323,6.799163071655854,3.5116136363636365,135.1378787878788,-0.3308424157105464,0.8775757575757577,5.992424242424243,0.3318181818181818,0.2121212121212121,0.0454545454545454,0.0909090909090909,2.2710606060606064,0.7575757575757576,-101.92794266969152,431.5135014872373,439.2606271790968,-1.10618932036029,21.271151515151512,12.818181818181818,0.6454545454545454,-0.5835865859711592,7.65260606060606,208.6625875537259,7.266613086966546,20.74181165031868,0.3136363636363637,813.6329696969697,19.93486411588452,1.1592766631726306,6.890886983283338,4.04390909090909,125.33636363636364,-0.1332296849275236,-0.1709090909090909,6.234545454545454,0.2845454545454545,0.8181818181818182,0.0,0.6363636363636364,2.159090909090909,3.5454545454545454,256.9676043355817,483.4680430680433,470.81752194949127,-2.3613201140665683,21.22209090909091,10.963636363636365,0.5654545454545454,0.2403925449649754,-1.6570909090909092,222.12708620447785,9.169946719946706,22.870301148127243,0.2809090909090909,823.4535454545454,24.533960483960485,1.1129750556349025,7.612300129537982,3.0735454545454544,-0.085,0.0,39,124.633,69.082,55.551,573.763,5.0,4.09,0.532,0.154,2.444,4.444,7,0,62.5,4.406,9.267,0.882,Vacant,0.1818181818181818,0.0,0.4545454545454545,0.1818181818181818,0.1818181818181818,0.696969696969697,0.0909090909090909,0.1363636363636363,0.0303030303030303,0.0454545454545454,0.5,0.0616883116883116,0.1688311688311688,0.1071428571428571,0.1623376623376623
8HY5_A:HIS:212,5.047445255474453,1.4087591240875912,1.5036496350364963,0.0218978102189781,5.360655737704918,1.2459016393442623,1.1967213114754098,0.0491803278688524,0.7142857142857143,0.5714285714285714,0.2857142857142857,0.1428571428571428,135.93211678832117,-0.3661225849109125,0.3246715328467153,6.184014598540147,0.2826642335766423,0.5109489051094891,0.0218978102189781,0.4452554744525547,2.160255474452555,2.2372262773722627,113.96820153568288,511.889629055864,481.39821757692425,-2.680731311828563,16.893109489051096,12.081386861313868,0.5748905109489051,-0.2306101738190722,1.5567518248175185,235.6355182801907,8.234559870928187,23.05305539518527,0.2922262773722627,860.6399087591243,25.515031112649947,1.0500249744615648,6.969966074789186,2.954065693430657,141.34590163934425,-0.4557792326723296,0.9824590163934424,6.093770491803278,0.2880327868852459,0.1967213114754098,0.0491803278688524,0.2459016393442623,2.568688524590164,1.0655737704918034,-248.57503548497024,507.5968598621355,423.1022325939073,-1.9091126360883848,19.45295081967213,11.921311475409835,0.6316393442622951,-0.7003010942980807,6.867377049180327,223.839498151878,9.014823493784002,19.944651178024817,0.3436065573770492,860.0619672131147,23.528978484596795,0.9073611079771168,7.045791173764728,3.009573770491804,169.25714285714284,-0.7698908487129806,0.2071428571428571,7.042857142857143,0.3342857142857142,0.4285714285714285,0.1428571428571428,1.1428571428571428,2.494285714285714,3.4285714285714284,811.8048724201947,528.0498229701238,576.8441071101098,-6.151230034757124,18.014857142857142,7.328571428571428,0.6371428571428571,-0.530916377271214,3.466857142857143,266.0416263715724,7.933224330667941,24.69104281828263,0.3028571428571429,1204.7234285714287,21.724515256394948,1.1952471116816432,8.338080272545474,2.501428571428572,-0.05,0.0,16,81.657,43.013,38.644,879.635,0.0,4.573,0.721,0.062,31.5,4.167,4,2,46.667,3.134,6.453,0.039,Vacant,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.5901639344262295,0.1475409836065573,0.2622950819672131,0.0,0.0,0.4051094890510949,0.0985401459854014,0.2408759124087591,0.1167883211678832,0.1386861313868613
8J79_A:CYS:1247,4.959821428571429,1.3883928571428572,1.5345982142857142,0.03125,4.889460154241645,1.19280205655527,1.262210796915167,0.0822622107969151,1.2592592592592593,0.5555555555555556,0.6666666666666666,0.0,134.43080357142858,-0.3232662141044489,0.2504017857142857,6.230524553571428,0.2884151785714285,0.5345982142857143,0.03125,0.3883928571428571,2.139073660714286,2.247767857142857,95.49849157305728,497.1253416729168,477.85193004762135,-2.697122170288008,18.28397544642857,11.9671875,0.5813950892857143,-0.1716087044870652,1.588002232142857,231.3624469514617,8.10391860839836,22.847147844014945,0.2929799107142857,861.1101584821429,24.761813086897632,1.0715130222954772,6.999965282229836,3.081493303571429,131.3547557840617,-0.2599709404204272,0.7480719794344473,6.097686375321338,0.2798971722365039,0.2596401028277635,0.0822622107969151,0.1928020565552699,2.280077120822622,1.2519280205655527,-100.32873233784304,498.41791649661087,419.6328077652259,-0.4935948408955943,19.071946015424164,13.522622107969152,0.6031876606683805,-0.449879577313232,6.164539845758354,217.7647220749098,8.493287909561959,21.273963618852296,0.3232904884318766,805.8681696658098,25.18060322176161,0.9496667210985988,6.530094942653749,3.31539588688946,134.69629629629628,-0.3241733073528223,0.0737037037037037,6.511111111111112,0.2581481481481481,0.5185185185185185,0.037037037037037,0.5555555555555556,1.9059259259259256,2.6296296296296298,268.0790350733896,550.3859742029132,504.4242580244332,-4.051619626215982,16.471814814814813,13.15925925925926,0.5307407407407408,-0.0868837418840864,0.1965185185185184,250.5391830790333,7.98481654279312,25.49214260434987,0.2725925925925926,904.9395925925928,29.13467059679205,1.0093115655433371,6.662687266795933,2.852111111111112,0.048,0.001,19,24.86,4.33,20.53,98.353,11.0,3.634,0.466,0.632,30.167,4.667,2,0,25.0,1.671,3.678,0.534,Vacant,0.2592592592592592,0.1481481481481481,0.2592592592592592,0.1851851851851851,0.1481481481481481,0.5629820051413882,0.1208226221079691,0.2467866323907455,0.0385604113110539,0.0308483290488431,0.3850446428571428,0.0736607142857142,0.2533482142857143,0.1428571428571428,0.1450892857142857
8OFW_A:GLU:231,4.7180451127819545,1.5112781954887218,1.406015037593985,0.0075187969924812,4.773809523809524,1.0833333333333333,1.2023809523809523,0.0,2.2,1.2,1.0,0.0,128.34135338345862,-0.171938176235793,0.2385714285714285,6.440375939849624,0.2830827067669173,0.4060150375939849,0.0075187969924812,0.5112781954887218,2.071954887218045,2.1203007518796992,337.5414229625251,489.8104848285645,469.9102966168605,-1.187711566287201,17.08142857142857,13.098496240601504,0.5660526315789473,-0.0889521636947188,0.9924135338345864,227.38519277267528,7.981226458662397,24.785661137102363,0.2829699248120301,860.2716616541355,26.3661687216201,1.0792040967627243,6.884349520092361,3.302973684210526,129.68095238095236,-0.2977878432665676,0.8617857142857143,5.971428571428572,0.3047619047619048,0.2023809523809523,0.0,0.0833333333333333,2.32,0.7023809523809523,-113.98283999765243,455.9689617371165,416.15549839236536,0.1808673791128179,17.60826190476191,13.20595238095238,0.6255952380952381,-0.5200487681633923,5.464071428571429,207.96048495247908,7.903982505039057,21.19221229533236,0.3208333333333333,773.0886428571428,22.70274290414173,1.051465022205956,6.595386788854943,3.631119047619048,147.26,-0.5679844764475084,-0.442,6.708,0.3319999999999999,0.8,0.0,1.2,2.302,4.4,1224.362288701789,451.15513227513264,577.492380952381,-7.74623731108773,15.4348,8.059999999999999,0.6119999999999999,0.2812047521147715,-5.2432,243.8613090102304,7.341375661375662,25.534,0.2799999999999999,1064.5666,20.22402116402116,1.336204081632653,8.327673469387756,2.5048,-0.02,0.0,16,64.349,29.328,35.021,396.309,6.0,4.416,0.669,0.438,-18.5,4.5,2,2,42.857,2.646,6.14,0.608,Vacant,0.2,0.0,0.0,0.4,0.4,0.7738095238095238,0.0714285714285714,0.1309523809523809,0.0,0.0238095238095238,0.4962406015037593,0.0488721804511278,0.1804511278195488,0.1541353383458646,0.1203007518796992
8J79_A:GLU:103,4.959821428571429,1.3883928571428572,1.5345982142857142,0.03125,4.889460154241645,1.19280205655527,1.262210796915167,0.0822622107969151,1.65,0.25,0.6,0.1,134.43080357142858,-0.3232662141044489,0.2504017857142857,6.230524553571428,0.2884151785714285,0.5345982142857143,0.03125,0.3883928571428571,2.139073660714286,2.247767857142857,95.49849157305728,497.1253416729168,477.85193004762135,-2.697122170288008,18.28397544642857,11.9671875,0.5813950892857143,-0.1716087044870652,1.588002232142857,231.3624469514617,8.10391860839836,22.847147844014945,0.2929799107142857,861.1101584821429,24.761813086897632,1.0715130222954772,6.999965282229836,3.081493303571429,131.3547557840617,-0.2599709404204272,0.7480719794344473,6.097686375321338,0.2798971722365039,0.2596401028277635,0.0822622107969151,0.1928020565552699,2.280077120822622,1.2519280205655527,-100.32873233784304,498.41791649661087,419.6328077652259,-0.4935948408955943,19.071946015424164,13.522622107969152,0.6031876606683805,-0.449879577313232,6.164539845758354,217.7647220749098,8.493287909561959,21.273963618852296,0.3232904884318766,805.8681696658098,25.18060322176161,0.9496667210985988,6.530094942653749,3.31539588688946,138.75999999999996,-0.2827287120937629,0.585,6.326,0.318,0.35,0.1,0.3,2.388,1.6,20.16698881745868,471.3188417893023,455.0015297656537,-1.4418207146301882,21.54215,10.86,0.6290000000000001,-0.4147858981291848,5.4488,220.155767566444,8.540895131793159,21.33085517216897,0.311,892.4073000000002,22.129771358149657,1.1036660035223185,7.501963884733473,3.51875,-0.084,0.0,21,69.486,45.333,24.153,388.763,0.0,4.586,0.701,0.0,29.714,5.286,5,2,50.0,2.089,5.039,0.571,Vacant,0.55,0.05,0.25,0.1,0.05,0.5629820051413882,0.1208226221079691,0.2467866323907455,0.0385604113110539,0.0308483290488431,0.3850446428571428,0.0736607142857142,0.2533482142857143,0.1428571428571428,0.1450892857142857
